,Link,Title,Intro
118,https://www.securityweek.com/iran-unblocks-access-gmail,Iran Unblocks Access to Gmail,"Mohammad Reza Miri, a member of the telecommunications ministry in Iran, said a recent Gmail block was an ""involuntary"" consequence of trying to reinforce censorship of Google's YouTube video-sharing site.  [Read More]"
119,https://www.securityweek.com/iran-blocks-access-gmail,Iran Blocks Access to Gmail,Iran blocked access to Google's popular and relatively secure Gmail service Monday amid first steps by the Islamic republic to establish a walled-off national intranet separate from the worldwide Internet.  [Read More]
120,https://www.securityweek.com/google-soon-kill-sslv3-rc4-support-gmail,"Google to Soon Kill SSLv3, RC4 Support in Gmail","Starting on June 16, 2016, the old SSLv3 and RC4 security protocols will no longer be supported on Google’s SMTP servers and on Gmail’s web servers.  [Read More]"
121,https://www.securityweek.com/google-stops-scanning-gmail-content-ad-targeting,Google Stops Scanning Gmail Content for Ad Targeting,Google on Friday announced plans to stop scanning the content of consumer Gmail addresses for personalizing the ads it serves to users.  [Read More]
122,https://www.securityweek.com/indian-government-wakes-risk-hotmail-gmail,"Indian Government Wakes up to Risk of Hotmail, Gmail","India has begun drawing up a new email policy to help secure government communications, but the man responsible for drafting the rules still regularly uses Hotmail.  [Read More]"
123,https://www.securityweek.com/iran-blocks-access-gmail,Iran Blocks Access to Gmail,Iran blocked access to Google's popular and relatively secure Gmail service Monday amid first steps by the Islamic republic to establish a walled-off national intranet separate from the worldwide Internet.  [Read More]
124,https://www.securityweek.com/google-boosts-security-gmail-and-google-talk-oauth-20,Google Boosts Security For GMail and Google Talk With OAuth 2.0,Google announced that IMAP/SMTP and XMPP would be getting a security boost in the form of OAuth 2.0. The transition comes as the company depreciates older standards (OAuth 1.0a) on the GMail and Google Talk services.  [Read More]
125,https://www.securityweek.com/googles-dlp-gmail-adds-optical-character-recognition,Google's DLP for Gmail Adds Optical Character Recognition,"DLP for Gmail now includes Optical Character Recognition (OCR) for improved attachment scanning, a new set of predefined content detectors, and increased control over content detection thresholds.  [Read More]"
126,https://www.securityweek.com/google-launches-data-loss-prevention-dlp-gmail,Google Launches Data Loss Prevention (DLP) for Gmail,"Google this week announced Data Loss Prevention (DLP) for Gmail, designed to help Google Apps for Work customers keep their sensitive information secure.  [Read More]"
127,https://www.securityweek.com/google-soon-kill-sslv3-rc4-support-gmail,"Google to Soon Kill SSLv3, RC4 Support in Gmail","Starting on June 16, 2016, the old SSLv3 and RC4 security protocols will no longer be supported on Google’s SMTP servers and on Gmail’s web servers.  [Read More]"
128,https://www.securityweek.com/google-boosts-security-gmail-and-google-talk-oauth-20,Google Boosts Security For GMail and Google Talk With OAuth 2.0,Google announced that IMAP/SMTP and XMPP would be getting a security boost in the form of OAuth 2.0. The transition comes as the company depreciates older standards (OAuth 1.0a) on the GMail and Google Talk services.  [Read More]
129,https://www.securityweek.com/gmail-drops-support-chrome-windows-xp-and-vista,Gmail Drops Support for Chrome on Windows XP and Vista,"Gmail will soon drop support for Chrome version 53 and below, a move expected to hit Windows XP and Vista users the most.  [Read More]"
130,https://www.securityweek.com/google-gmail-app-ios-doesnt-perform-certificate-pinning-researchers,Google Gmail App for iOS Doesn't Perform Certificate Pinning: Researchers,Researchers at Lacoon Mobile Security discuss an issue impacting the Gmail application for iOS they believe could help an attacker launching man-in-the-middle attacks.  [Read More]
131,https://www.securityweek.com/google-rolls-out-business-focused-security-enhancements-gmail,Google Rolls Out Business-Focused Security Enhancements for Gmail,Google today announced a series of improvements to Gmail’s security aimed at making the service better at protecting business data.  [Read More]
132,https://www.securityweek.com/gmail-delivers-spoofed-messages-without-warning-researchers-find,"Gmail Delivers Spoofed Messages Without Warning, Researchers Find","Spoofed emails could easily land in user’s Gmail inboxes without even warning them of suspicious activity, security researchers have discovered.  [Read More]"
133,https://www.securityweek.com/gmail-block-javascript-file-attachments,Gmail to Block JavaScript File Attachments,Google announced that JavaScript (.js) file attachments will be blocked by Gmail starting with February 13 for security reasons  [Read More]
134,https://www.securityweek.com/phished-gmail-accounts-immediately-accessed-hackers,Phished Gmail Accounts Immediately Accessed by Hackers,Gmail phishing attack: cybercriminals use cleverly designed URLs and they immediately access the hacked accounts  [Read More]
135,https://www.securityweek.com/google-enhances-security-alerts-gmail,Google Enhances Security Alerts in Gmail,"Google is boosting the security of its Gmail service in an effort to keep them protected from phishing attacks, malware, and other threats.  [Read More]"
136,https://www.securityweek.com/gmail-warn-when-messages-take-unencrypted-routes,Gmail to Warn When Messages Take Unencrypted Routes,Google plans to ramp up security for Gmail by letting users know when messages arrive via unencrypted connections that could be prone to snooping or tampering.  [Read More]
137,https://www.securityweek.com/gmail-blocking-suspicious-addresses-containing-non-latin-characters,Gmail Blocking Suspicious Addresses Containing Non-Latin Characters,"Google has updated Gmail spam filters to block out emails coming from addresses using suspicious combinations of Latin and non-Latin characters, the company said on Tuesday.  [Read More]"
138,https://www.securityweek.com/google-boosts-security-gmail-infrastructure,Google Boosts Security of Gmail Infrastructure,Google announced that its Gmail service would use added encryption to protect against eavesdropping and keep messages secure.  [Read More]
139,https://www.securityweek.com/indian-government-wakes-risk-hotmail-gmail,"Indian Government Wakes up to Risk of Hotmail, Gmail","India has begun drawing up a new email policy to help secure government communications, but the man responsible for drafting the rules still regularly uses Hotmail.  [Read More]"
140,https://www.securityweek.com/undisclosed-glitch-disrupts-gmail-two-hours,Undisclosed Glitch Disrupts Gmail for Two Hours,Google suffered disruptions on several of its cloud-based services including Gmail for about two hours Wednesday for reasons that were not disclosed.  [Read More]
141,https://www.securityweek.com/google-reports-huge-drop-hacked-gmail-accounts,Google Reports Huge Drop in Hacked Gmail Accounts,"In a blog post on the company’s war against scams and spam, Google announced on Tuesday that they’ve worked-up a method that is stopping nearly all of the attacks aimed at Gmail account holders.  [Read More]"
142,https://www.securityweek.com/iran-unblocks-access-gmail,Iran Unblocks Access to Gmail,"Mohammad Reza Miri, a member of the telecommunications ministry in Iran, said a recent Gmail block was an ""involuntary"" consequence of trying to reinforce censorship of Google's YouTube video-sharing site.  [Read More]"
143,https://www.securityweek.com/gmail-block-javascript-file-attachments,Gmail to Block JavaScript File Attachments,Google announced that JavaScript (.js) file attachments will be blocked by Gmail starting with February 13 for security reasons  [Read More]
